Province,District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,Year,canonical_Province,canonical_District,matched_score_Province,matched_score_District,join_key,match_status,reconciliation_notes
Western,Sioma,10463.0,527565.0,3550.0,106917.0,8400.0,0.0,656895.0,2022,Western,Sioma,Western,Sioma,2022::western::sioma,matched,
Central,Chibombo,5294598.0,4231249.0,865840.0,3123314.0,4453534.0,0.0,17968535.0,2023,Central,Chibombo,Central,Chibombo,2023::central::chibombo,matched,
Central,Chisamba,991690.0,2201416.0,128691.0,463296.0,133209.0,0.0,3918302.0,2023,Central,Chisamba,Central,Chisamba,2023::central::chisamba,matched,
Central,Chitambo,5665.0,1591758.0,114430.0,90557.0,21020.0,0.0,1823430.0,2023,Central,Chitambo,Central,Chitambo,2023::central::chitambo,matched,
Central,Itezhi-tezhi,1713378.0,2254155.0,318670.0,427082.0,290256.0,0.0,5003541.0,2023,Central,Itezhi-tezhi,Central,Itezhi-Tezhi,2023::central::itezhi tezhi,matched,score district normalized: Itezhi-Tezhi -> Itezhi-tezhi
Central,Kabwe Municipal Council,11651268.0,16686099.0,489260.0,1914847.0,6073842.0,0.0,36815316.0,2023,Central,Kabwe,Central,Kabwe,2023::central::kabwe,matched,council suffix removed: Kabwe Municipal Council -> Kabwe
Central,Kapiri Mposhi,3036401.0,9128142.0,56595.0,5081813.0,577845.0,0.0,17880796.0,2023,Central,Kapiri Mposhi,Central,Kapiri Mposhi,2023::central::kapiri mposhi,matched,
Central,Luano,1604621.0,789042.0,185630.0,17406.0,109231.0,0.0,2705930.0,2023,Central,Luano,Central,Luano,2023::central::luano,matched,
Central,Mkushi,830478.0,1414684.0,50050.0,4982769.0,682810.0,0.0,7960791.0,2023,Central,Mkushi,Central,Mkushi,2023::central::mkushi,matched,
Central,Mumbwa,1433374.0,7007523.0,1875956.0,781946.0,1537236.0,0.0,12636035.0,2023,Central,Mumbwa,Central,Mumbwa,2023::central::mumbwa,matched,
Central,Ngabwe,4770.0,304722.0,111873.0,139798.0,21121.0,0.0,582284.0,2023,Central,Ngabwe,Central,Ngabwe,2023::central::ngabwe,matched,
Central,Serenje,564852.0,4866505.0,342544.0,1391043.0,675025.0,0.0,7839969.0,2023,Central,Serenje,Central,Serenje,2023::central::serenje,matched,
Central,Shibuyunji,6119392.0,602486.0,26700.0,282962.0,163733.0,0.0,7195273.0,2023,Central,Shibuyunji,Central,Shibuyunji,2023::central::shibuyunji,matched,
Copperbelt,Chililabombwe Municipal Council,27404439.0,42084091.0,525395.0,10286067.0,3927264.0,0.0,84227256.0,2023,Copperbelt,Chililabombwe,Copperbelt,Chililabombwe,2023::copperbelt::chililabombwe,matched,council suffix removed: Chililabombwe Municipal Council -> Chililabombwe
Copperbelt,Chingola Municipal Council,58777100.0,14849994.0,500678.0,2477351.0,4325467.0,0.0,80930590.0,2023,Copperbelt,Chingola,Copperbelt,Chingola,2023::copperbelt::chingola,matched,council suffix removed: Chingola Municipal Council -> Chingola
